Name,Title,Year,Toyline,Size,Brand
Clone Trooper,Riot Control,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Stealth Ops,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Battlefront II Clone 6-Pack,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Clone Trooper,With Gelagrub,2009,The Legacy Collection,"3 3/4""",Hasbro
Clone Trooper,212th Attack Battalion,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,With Jet Backpack,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Turbo Tank Support Squad 2-pack,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,with Quad Cannon,2008,The Legacy Collection,"3 3/4""",Hasbro
Clone Trooper,Coruscant Landing Platform,2008,The Legacy Collection,"3 3/4""",Hasbro
Clone Trooper,Battle Of Utapau,2006,The Saga Collection,"3 3/4""",Hasbro
Clone Trooper,Training Fatigue,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Wars,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,501st Legion,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Speeder Bike Recon,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Senate Security,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Wars,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Coruscant Guard,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,41st Elite Corps,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,With Space Gear,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Revenge Of The Sith,2012,Movie Heroes Series,"3 3/4""",Hasbro
Clone Trooper,With BARC Speeder,2012,Movie Heroes Series,"3 3/4""",Hasbro
Clone Trooper,Army Of The Republic,2003,Tartakovsky Clone Wars (Realistic),"3 3/4""",Hasbro
Clone Trooper,Legacy Of Terror 2-pack,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Phase II Armor,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Army Of The Republic,2003,Tartakovsky Clone Wars (Realistic),"3 3/4""",Hasbro
Clone Trooper,501st Legion,2012,The Vintage Collection,"3 3/4""",Hasbro
Clone Trooper,Army Of The Republic,2003,Tartakovsky Clone Wars (Realistic),"3 3/4""",Hasbro
Clone Trooper,Army Of The Republic,2003,Tartakovsky Clone Wars (Realistic),"3 3/4""",Hasbro
Clone Trooper,Army Of The Republic,2003,Tartakovsky Clone Wars (Realistic),"3 3/4""",Hasbro
Clone Trooper,Quick-Draw Attack!,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,With Republic Gunship,2013,The Vintage Collection,"3 3/4""",Hasbro
Clone Trooper,With Space Gear,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,41st Elite Corps,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,41st Elite Corps,2013,"The Black Series 3.75""","3 3/4""",Hasbro
Clone Trooper,212th Attack Battalion,2013,The Legacy Collection 2013,"3 3/4""",Hasbro
Clone Trooper,Mission Series MS02: Coruscant,2013,Saga Legends Series,"3 3/4""",Hasbro
Clone Trooper,Mission Series MS04: Utapau,2013,Saga Legends Series,"3 3/4""",Hasbro
Clone Trooper,Attack Of The Clones,2013,Saga Legends Series,"3 3/4""",Hasbro
Clone Trooper,Fifth Fleet Security,2006,The Saga Collection,"3 3/4""",Hasbro
Clone Trooper,Combat Engineer,2006,The Saga Collection,"3 3/4""",Hasbro
Clone Trooper,442nd Siege Battalion,2006,The Saga Collection,"3 3/4""",Hasbro
Clone Trooper,ARC-170 Elite Squad,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Clone Trooper,Republic Elite Forces I,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Clone Trooper,Super Articulated!,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Hawkbat Battalion,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Clone Trooper,7th Legion Trooper,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Trooper to Stormtrooper Set 1,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Trooper to Stormtrooper Set 1,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Trooper to Stormtrooper Set 2,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Trooper to Stormtrooper Set 2,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Attack On Coruscant,2005,Revenge Of The Sith,"3 3/4""",Hasbro
Clone Trooper,Concept By Alex Jaeger,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Trooper 3-pack,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Trooper 3-pack,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Trooper 3-pack,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Trooper 3-pack,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Trooper 3-pack,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Clone Trooper 3-pack,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Firing Jet-Pack!,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Clone Trooper,Episode III DVD Collection,2005,Revenge Of The Sith,"3 3/4""",Hasbro
Clone Trooper,Episode III DVD Collection,2005,Revenge Of The Sith,"3 3/4""",Hasbro
Clone Trooper,Republic 5-Pack,2020,Celebrate The Saga,"3 3/4""",Hasbro
Clone Trooper,327th Star Corps,2008,The Legacy Collection,"3 3/4""",Hasbro
Clone Trooper,With RC Republic Fighter Tank,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Revenge Of The Sith,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Clone Trooper,Attack Of The Clones,2020,The Vintage Collection,"3 3/4""",Hasbro
Clone Trooper,41st Elite Corps,2019,The Vintage Collection,"3 3/4""",Hasbro
Clone Trooper,Heroes & Villains,2006,The Saga Collection,"3 3/4""",Hasbro
Clone Trooper,Concept By Alex Jaeger,2006,The Saga Collection,"3 3/4""",Hasbro
Clone Trooper,501st Legion,2013,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Troop Builder 4-pack White,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper,Troop Builder 4-pack White,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper,Troop Builder 4-pack White,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper,Troop Builder 4-pack White,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper,41st Elite Corps,2013,"The Black Series 3.75""","3 3/4""",Hasbro
Clone Trooper,Attack Of The Clones,2014,Saga Legends Series,"3 3/4""",Hasbro
Clone Trooper,Silver Edition,2004,Star Wars SAGA Series,"3 3/4""",Hasbro
Clone Trooper,With Speeder Bike,2002,Star Wars SAGA Series,"3 3/4""",Hasbro
Clone Trooper,327th Star Corps,2008,The Legacy Collection,"3 3/4""",Hasbro
Clone Trooper,Troop Builder 4-pack White/Dirty,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper,Troop Builder 4-pack White/Dirty,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper,Troop Builder 4-pack White/Dirty,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper,Troop Builder 4-pack White/Dirty,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper,Stop The Zillo Beast 3-Pack,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Army Of The Republic 4-Pack,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Army Of The Republic 4-Pack,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Army Of The Republic 4-Pack,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Army Of The Republic 4-Pack,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper,Republic 5-Pack,2020,Celebrate The Saga,"3 3/4""",Hasbro
Clone Trooper Blackout,Stealth Operations,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Boil,Assault On Ryloth,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Boost,Ambush At Abregado,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Boost,104th Battalion Wolf Pack,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Buzz,With Speeder Bike,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Captain,Attack Of The Clones,2002,Star Wars SAGA Series,"3 3/4""",Hasbro
Clone Trooper Captain,Army Of The Republic,2003,Tartakovsky Clone Wars (Realistic),"3 3/4""",Hasbro
Clone Trooper Captain,Troop Builder 4-pack Ranked Clean Armor,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper Captain,Troop Builder 4-pack Ranked Battle Damage,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper Commander,Troop Builder 4-pack Ranked Battle Damage,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper Commander,Troop Builder 4-pack Ranked Clean Armor,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper Commander,Revenge Of The Sith,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Clone Trooper Commander,Attack Of The Clones,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Clone Trooper Commander,Army Of The Republic,2003,Tartakovsky Clone Wars (Realistic),"3 3/4""",Hasbro
Clone Trooper Commander,Army Of The Republic,2003,Tartakovsky Clone Wars (Realistic),"3 3/4""",Hasbro
Clone Trooper Cutup,Republic Troopers,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Denal,Clone Wars,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Draa,Clone Wars,2010,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Echo,Defend Kamino,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Echo,Cody and Echo 2-pack,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Echo,Clone Wars,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Echo,501st Legion ARC Troopers 3-Pack,2020,The Vintage Collection,"3 3/4""",Hasbro
Clone Trooper Fives,501st Legion ARC Troopers 3-Pack,2020,The Vintage Collection,"3 3/4""",Hasbro
Clone Trooper Fives,,2020,The Vintage Collection,"3 3/4""",Hasbro
Clone Trooper Fives,Defend Kamino,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Hardcase,Republic Troopers,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Hevy,Clone Wars,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Jek,Clone Wars,2010,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Jek,Ambush - Yoda and Jek 2-pack,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Jesse,With BARC Speeder,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Jesse,501st Legion ARC Troopers 3-Pack,2020,The Vintage Collection,"3 3/4""",Hasbro
Clone Trooper Kix,The Hunt For Grievous,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Lieutenant,Tartakovsky Clone Wars,2005,Tartakovsky Clone Wars (Animated),"3 3/4""",Hasbro
Clone Trooper Lieutenant,Comic 2-pack #10 - 2009,2009,The Legacy Collection,"3 3/4""",Hasbro
Clone Trooper Lieutenant,Army Of The Republic,2003,Tartakovsky Clone Wars (Realistic),"3 3/4""",Hasbro
Clone Trooper Lieutenant,Army Of The Republic,2003,Tartakovsky Clone Wars (Realistic),"3 3/4""",Hasbro
Clone Trooper Lieutenant,Episode II,2012,The Vintage Collection,"3 3/4""",Hasbro
Clone Trooper Lieutenant,Troop Builder 4-pack Ranked Clean Armor,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper Lieutenant,Troop Builder 4-pack Ranked Battle Damage,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper Matchstick,Shadow Squadron,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Mixer,Droid Attack On The Coronet,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Newbie,Rishi Moon Outpost Attack,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Odd Ball,Battle Of Teth,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Pilot,With Republic Attack Shuttle,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Red Eye,Droid Attack On The Coronet,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Rys,Ambush - Thire and Rys 2-pack,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Scythe,Brain Invaders 2-pack,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Sergeant,Army Of The Republic,2003,Tartakovsky Clone Wars (Realistic),"3 3/4""",Hasbro
Clone Trooper Sergeant,Attack Of The Clones,2013,"The Black Series 3.75""","3 3/4""",Hasbro
Clone Trooper Sergeant,The Rumbling Of War,2006,The Saga Collection,"3 3/4""",Hasbro
Clone Trooper Sergeant,Troop Builder 4-pack Ranked Battle Damage,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper Sergeant,Troop Builder 4-pack Ranked Clean Armor,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Clone Trooper Sergeant,Attack Of The Clones,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Clone Trooper Sinker,104th Battalion Wolf Pack,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Sinker,Ambush At Abregado,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Thire,Ambush - Thire and Rys 2-pack,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Warthog,With Y-Wing Scout Bomber,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Clone Trooper Waxer,Assault On Ryloth,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Cloud Car Pilot,The Empire Strikes Back,2010,The Vintage Collection,"3 3/4""",Hasbro
Cloud Car Pilot,Concept By Ralph McQuarrie - with Cloud Car,1998,The Power Of The Force,"3 3/4""",Hasbro
Cloud Car Pilot,Cloud City,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Coleman Trebor,2009 Set #1,2009,The Legacy Collection,"3 3/4""",Hasbro
Coleman Trebor,Battle Of Geonosis,2003,Star Wars SAGA Series,"3 3/4""",Hasbro
Colonel Cracken,Millennium Falcon Crew,2012,The Vintage Collection,"3 3/4""",Hasbro
Colonel Dyer,Battle For Endor 3-pack,2009,The Legacy Collection,"3 3/4""",Hasbro
Commander Appo,Jedi Purge,2006,The Saga Collection,"3 3/4""",Hasbro
Commander Bacara,Quick-Draw Attack!,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Commander Bacara,Battle On Mygeeto,2008,The 30th Anniversary Collection,"3 3/4""",Hasbro
Commander Bacara,Order 66,2009,The Legacy Collection,"3 3/4""",Hasbro
Commander Bacara,Heroes & Villains,2006,The Saga Collection,"3 3/4""",Hasbro
Commander Bly,Revenge Of The Sith,2015,Saga Legends Series,"3 3/4""",Hasbro
Commander Bly,Clone Wars,2010,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Bly,Revenge Of The Sith 4-Pack,2011,Shadow Of The Dark Side,"3 3/4""",Hasbro
Commander Bly,Battle Gear!,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Commander Bly,Battle Gear!,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Commander Bow,2007 Order 66 Set #3,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Commander Cody,Battle Of Utapau,2006,The Saga Collection,"3 3/4""",Hasbro
Commander Cody,Clone Wars,2013,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Cody,Revenge Of The Sith,2014,Saga Legends Series,"3 3/4""",Hasbro
Commander Cody,With Propulsion Pack,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Cody,Holographic,2006,The Saga Collection,"3 3/4""",Hasbro
Commander Cody,Commemorative DVD 3-Pack 2005 Set #1,2005,Tartakovsky Clone Wars (Animated),"3 3/4""",Hasbro
Commander Cody,Revenge Of The Sith,2010,The Vintage Collection,"3 3/4""",Hasbro
Commander Cody,Cody and Echo 2-pack,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Cody,Revenge Of The Sith,2009,The Legacy Collection,"3 3/4""",Hasbro
Commander Cody,Clone Wars,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Cody,Revenge Of The Sith Set #1,2015,The Force Awakens Collection,"3 3/4""",Hasbro
Commander Cody,Republic 5-Pack,2020,Celebrate The Saga,"3 3/4""",Hasbro
Commander Colt,Clone Wars,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Deviss,Based On Concept Art,2009,The Legacy Collection,"3 3/4""",Hasbro
Commander Doom,The Clone Wars,2015,"The Black Series 3.75""","3 3/4""",Hasbro
Commander Faie,Comic 2-Pack #13 - 2008,2008,The Legacy Collection,"3 3/4""",Hasbro
Commander Faie,Concept by David J+ñger,2008,The Legacy Collection,"3 3/4""",Hasbro
Commander Fox,Clone Wars,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Fox,The Clone Wars,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Gree,Battle Gear!,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Commander Gree,Battle Gear!,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Commander Gree,Revenge Of The Sith,2008,The 30th Anniversary Collection,"3 3/4""",Hasbro
Commander Gree,Clone Wars,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Gree,Revenge Of The Sith,2011,The Vintage Collection,"3 3/4""",Hasbro
Commander Gree,The Clone Wars,2015,Saga Legends Series,"3 3/4""",Hasbro
Commander Gree,Revenge Of The Sith,2008,The Legacy Collection,"3 3/4""",Hasbro
Commander Jet,Clone Wars,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Keller,Star Wars Republic #79,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Commander Neyo,Revenge Of The Sith,2013,"The Black Series 3.75""","3 3/4""",Hasbro
Commander Neyo,Revenge Of The Sith,2008,The 30th Anniversary Collection,"3 3/4""",Hasbro
Commander Ponds,Battle Of Geonosis: Jedi Knights Set #1,2013,Saga Legends Series,"3 3/4""",Hasbro
Commander Ponds,Clone Wars,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Pyre,Star Wars Resistance,2019,Star Wars Resistance,"3 3/4""",Hasbro
Commander Stone,Clone Wars,2010,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Thire,2007 Order 66 Set #1,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Commander Thorn,The Clone Wars,2015,"The Black Series 3.75""","3 3/4""",Hasbro
Commander Vill,2008 Order 66 Set #4,2008,The 30th Anniversary Collection,"3 3/4""",Hasbro
Commander Wolffe,104th Battalion Wolf Pack,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Wolffe,Phase II Armor,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Wolffe,Clone Wars,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Commander Wolffe,The Clone Wars,2015,"The Black Series 3.75""","3 3/4""",Hasbro
Commander Wolffe,The Clone Wars,2020,The Vintage Collection,"3 3/4""",Hasbro
Commando Droid,Hostage Crisis,2010,The Clone Wars Collection,"3 3/4""",Hasbro
Commando Droid,Hostage Crisis,2010,The Clone Wars Collection,"3 3/4""",Hasbro
Commando Droid,Rishi Moon Outpost Attack,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Commando Droid,Rishi Moon Outpost Attack,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Commando Droid,Clone Wars,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Constable Zuvio,Desert Gear,2015,The Force Awakens Collection,"3 3/4""",Hasbro
Corellian Hound,2-Pack #5 With Rebolt,2018,SOLO: A Star Wars Story,"3 3/4""",Hasbro
Corran Horn,Droid Factory 2-Pack #5 2009,2009,The Legacy Collection,"3 3/4""",Hasbro
Cortosis Battle Droid,Droid Factory 2-Pack #2 2009,2009,The Legacy Collection,"3 3/4""",Hasbro
Count Dooku,With Speeder Bike,2009,The Clone Wars Collection,"3 3/4""",Hasbro
Count Dooku,Clone Wars,2008,The Clone Wars Collection,"3 3/4""",Hasbro
Count Dooku,Holographic Transmission,2008,The Legacy Collection,"3 3/4""",Hasbro
Count Dooku,2010 Set #5,2010,The Legacy Collection,"3 3/4""",Hasbro
Count Dooku,Tartakovsky Clone Wars,2004,Tartakovsky Clone Wars (Animated),"3 3/4""",Hasbro
Count Dooku,Attack Of The Clones 4-Pack,2011,Shadow Of The Dark Side,"3 3/4""",Hasbro
Count Dooku,Darth Tyranus - Geonosian Escape,2003,Star Wars SAGA Series,"3 3/4""",Hasbro
Count Dooku,Dark Lord,2002,Star Wars SAGA Series,"3 3/4""",Hasbro
Count Dooku,Sith Lord,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Count Dooku,With Geonosian Speeder Bike,2003,Star Wars SAGA Series,"3 3/4""",Hasbro
Count Dooku,Star Wars Revenge Of The Sith #1,2008,The 30th Anniversary Collection,"3 3/4""",Hasbro
Count Dooku,The Sith,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Count Dooku,Battle Arena Trade Federation Cruiser,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Count Dooku,Ultimate Gift Set 5-Pack,2011,The Clone Wars Collection,"3 3/4""",Hasbro
Count Dooku,Geonosian War Room 3-Pack #1,2003,Star Wars SAGA Series,"3 3/4""",Hasbro
Count Dooku,with Force-Flipping Attack!,2002,Star Wars SAGA Series,"3 3/4""",Hasbro
Covert Ops Clone Trooper,StarWarsShop.com exclusive,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
CZ-4,Return Of The Jedi,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Dak Ralter,With Snowspeeder,2002,Power Of The Jedi,"3 3/4""",Hasbro
Dak Ralter,The Empire Strikes Back,2010,The Vintage Collection,"3 3/4""",Hasbro
Dak Ralter,The Empire Strikes Back,2014,"The Black Series 3.75""","3 3/4""",Hasbro
Dani,With Razor Crest (Carbonite Block),2021,The Vintage Collection,"3 3/4""",Hasbro
Dannik Jerriko,Cantina Encounter,2004,Original Trilogy Collection,"3 3/4""",Hasbro
Dark Trooper,Dark Forces Video Game,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Dark Trooper,Phase I,2010,The Legacy Collection,"3 3/4""",Hasbro
Dark Trooper,Build A Droid 2009,2009,The Legacy Collection,"3 3/4""",Hasbro
Dark Trooper,Dark Forces Video Game,1998,The Power Of The Force,"3 3/4""",Hasbro
Darth Bane,Sith Legacy 3-Pack,2009,The Legacy Collection,"3 3/4""",Hasbro
Darth Krayt,Comic 2-pack #8 - 2009,2009,The Legacy Collection,"3 3/4""",Hasbro
Darth Malak,Knights Of The Old Republic,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Darth Maleval,Joker Squad 6-Pack,2009,The Legacy Collection,"3 3/4""",Hasbro
Darth Malgus,Old Republic Video Game,2012,The Vintage Collection,"3 3/4""",Hasbro
Darth Malgus,Old Republic Video Game,2014,"The Black Series 3.75""","3 3/4""",Hasbro
Darth Maul,Clone Wars,2013,The Clone Wars Collection,"3 3/4""",Hasbro
Darth Maul,The Phantom Menace,2014,Saga Legends Series,"3 3/4""",Hasbro
Darth Maul,Epic Battles Ep1: The Phantom Menace,2015,The Force Awakens Collection,"3 3/4""",Hasbro
Darth Maul,With Collectible Cup,2004,Star Wars SAGA Series,"3 3/4""",Hasbro
Darth Maul,Theed Hangar Duel,2003,Star Wars SAGA Series,"3 3/4""",Hasbro
Darth Maul,Versus 2-Pack #5,2016,The Rogue One Collection,"3 3/4""",Hasbro
Darth Maul,Episode 1 - Bundled With Yoda,2019,Skywalker Saga Collection,"3 3/4""",Hasbro
Darth Maul,The Phantom Menace,2007,The 30th Anniversary Collection,"3 3/4""",Hasbro
Darth Maul,Target 8-Pack,2016,The Rogue One Collection,"3 3/4""",Hasbro
Darth Maul,Era Of The Force 8-Pack,2017,The Last Jedi Collection,"3 3/4""",Hasbro
Darth Maul,2-Pack #2 With Qui-Gon Jinn/Probe Droid,2018,SOLO: A Star Wars Story,"3 3/4""",Hasbro
Darth Maul,The Sith Apprentice,2019,Star Wars Galaxy Of Adventures,"3 3/4""",Hasbro
Darth Maul,Deluxe,1999,The Episode 1 Collection,"3 3/4""",Hasbro
Darth Maul,Sith Legacy 3-Pack,2009,The Legacy Collection,"3 3/4""",Hasbro
Darth Maul,The Phantom Menace,2020,The Vintage Collection,"3 3/4""",Hasbro
Darth Maul,Sith 5-Pack,2020,Celebrate The Saga,"3 3/4""",Hasbro
Darth Maul,Mandalore,2021,The Vintage Collection,"3 3/4""",Hasbro
Darth Maul,Duel On Naboo,2012,Movie Heroes Series,"3 3/4""",Hasbro
Darth Maul,Darth Maul Returns,2012,The Clone Wars Collection,"3 3/4""",Hasbro
Darth Maul,Spinning Lightsaber Action!,2012,Movie Heroes Series,"3 3/4""",Hasbro
Darth Maul,With Sith Speeder,2012,Movie Heroes Series,"3 3/4""",Hasbro
Darth Maul,Emergence Of The Sith,2012,Movie Heroes Series,"3 3/4""",Hasbro
Darth Maul,Sith Training,2002,Star Wars SAGA Series,"3 3/4""",Hasbro
Darth Maul,The Sith,2005,Revenge Of The Sith Collection,"3 3/4""",Hasbro
Darth Maul,Sith Training,2006,The Saga Collection,"3 3/4""",Hasbro
Darth Maul,Mission Series MS06: Mandalore,2014,Saga Legends Series,"3 3/4""",Hasbro
Darth Maul,Droid Factory 2-Pack #4 2009,2009,The Legacy Collection,"3 3/4""",Hasbro
Darth Maul,Jedi Duel,1999,The Episode 1 Collection,"3 3/4""",Hasbro
Darth Maul,Visionaries: Old Wounds,2010,Shadow Of The Dark Side,"3 3/4""",Hasbro
Darth Maul,Light-up,2000,The Episode 1 Collection,"3 3/4""",Hasbro
Darth Maul,Slashing Lightsaber Action!,2012,Movie Heroes Series,"3 3/4""",Hasbro
Darth Maul,Masters Of The Dark Side 2-pack,2000,Power Of The Jedi,"3 3/4""",Hasbro
Darth Maul,The Phantom Menace 4-Pack,2011,Shadow Of The Dark Side,"3 3/4""",Hasbro
Darth Maul,The Phantom Menace,2012,Discover The Force,"3 3/4""",Hasbro
Darth Maul,Final Duel,2000,Power Of The Jedi,"3 3/4""",Hasbro
Darth Maul,Sith Apprentice,2001,Power Of The Jedi,"3 3/4""",Hasbro
Darth Maul,Holographic,2006,The Saga Collection,"3 3/4""",Hasbro
Darth Maul,With Sith Attack Droid,2001,Power Of The Jedi,"3 3/4""",Hasbro
Darth Maul,The Phantom Menace,2012,The Vintage Collection,"3 3/4""",Hasbro
Darth Maul,Sith Lord,1999,The Episode 1 Collection,"3 3/4""",Hasbro
